datetime,leads,cpl,roi
2022-10-08 03:00:00,5,30.57,0.316
2022-10-08 04:00:00,5,34.65,0.3
2022-10-08 05:00:00,6,27.99,0.237
2022-10-08 06:00:00,6,32.78,0.288
2022-10-08 07:00:00,4,30.25,0.281
2022-10-08 08:00:00,5,30.11,0.312
2022-10-08 09:00:00,5,28.9,0.274
2022-10-08 10:00:00,3,32.59,0.284
2022-10-08 11:00:00,6,30.66,0.302
2022-10-08 12:00:00,4,30.36,0.343
2022-10-08 13:00:00,1,31.17,0.316
2022-10-08 14:00:00,4,30.57,0.445
2022-10-08 15:00:00,1,26.87,0.248
2022-10-08 16:00:00,3,29.84,0.357
2022-10-08 17:00:00,4,32.57,0.308
2022-10-08 18:00:00,1,27.73,0.242
2022-10-08 19:00:00,4,28.52,0.293
2022-10-08 20:00:00,4,29.8,0.236
2022-10-08 21:00:00,5,29.16,0.316
2022-10-08 22:00:00,7,30.51,0.297
2022-10-08 23:00:00,5,28.34,0.278
2022-10-09 00:00:00,4,29.7,0.259
2022-10-09 01:00:00,5,30.34,0.363
2022-10-09 02:00:00,6,31.69,0.304
2022-10-09 03:00:00,7,32.84,0.323
2022-10-09 04:00:00,8,29.78,0.321
2022-10-09 05:00:00,8,34.04,0.318
2022-10-09 06:00:00,9,29.85,0.296
2022-10-09 07:00:00,8,31.83,0.388
2022-10-09 08:00:00,10,33.99,0.424
2022-10-09 09:00:00,7,30.37,0.385
2022-10-09 10:00:00,11,27.3,0.314
2022-10-09 11:00:00,7,30.18,0.311
2022-10-09 12:00:00,5,28.73,0.368
2022-10-09 13:00:00,4,29.36,0.275
2022-10-09 14:00:00,6,33.84,0.399
2022-10-09 15:00:00,5,27.38,0.353
2022-10-09 16:00:00,6,30.38,0.299
2022-10-09 17:00:00,6,27.98,0.327
2022-10-09 18:00:00,5,29.08,0.345
2022-10-09 19:00:00,4,31.14,0.292
2022-10-09 20:00:00,3,30.24,0.365
2022-10-09 21:00:00,6,29.11,0.377
2022-10-09 22:00:00,8,28.22,0.301
2022-10-09 23:00:00,8,30.11,0.29
2022-10-10 00:00:00,6,32.85,0.309
2022-10-10 01:00:00,9,27.59,0.256
2022-10-10 02:00:00,10,33.17,0.231
2022-10-10 03:00:00,8,31.7,0.292
2022-10-10 04:00:00,10,32.0,0.266
2022-10-10 05:00:00,10,29.83,0.403
2022-10-10 06:00:00,8,31.52,0.291
2022-10-10 07:00:00,10,27.11,0.337
2022-10-10 08:00:00,10,27.75,0.283
2022-10-10 09:00:00,10,30.58,0.404
2022-10-10 10:00:00,10,29.59,0.305
2022-10-10 11:00:00,6,28.66,0.252
2022-10-10 12:00:00,6,23.91,0.348
2022-10-10 13:00:00,8,28.0,0.328
2022-10-10 14:00:00,7,26.48,0.375
2022-10-10 15:00:00,7,29.78,0.307
2022-10-10 16:00:00,12,28.37,0.32
2022-10-10 17:00:00,7,27.45,0.24
2022-10-10 18:00:00,8,33.95,0.357
2022-10-10 19:00:00,8,30.7,0.318
2022-10-10 20:00:00,8,30.69,0.309
2022-10-10 21:00:00,6,32.94,0.304
2022-10-10 22:00:00,9,30.1,0.301
2022-10-10 23:00:00,7,26.91,0.358
2022-10-11 00:00:00,8,26.64,0.269
2022-10-11 01:00:00,8,30.3,0.353
2022-10-11 02:00:00,9,24.21,0.235
2022-10-11 03:00:00,13,28.13,0.22
2022-10-11 04:00:00,7,23.91,0.386
2022-10-11 05:00:00,11,28.41,0.265
2022-10-11 06:00:00,7,29.88,0.321
2022-10-11 07:00:00,9,28.69,0.303
2022-10-11 08:00:00,11,29.96,0.333
2022-10-11 09:00:00,9,31.98,0.319
2022-10-11 10:00:00,6,27.72,0.368
2022-10-11 11:00:00,6,33.58,0.245
2022-10-11 12:00:00,8,28.35,0.35
2022-10-11 13:00:00,5,29.79,0.314
2022-10-11 14:00:00,6,26.63,0.24
2022-10-11 15:00:00,5,31.05,0.29
2022-10-11 16:00:00,4,29.85,0.236
2022-10-11 17:00:00,8,30.67,0.233
2022-10-11 18:00:00,6,27.8,0.295
2022-10-11 19:00:00,2,25.14,0.376
2022-10-11 20:00:00,5,28.54,0.333
2022-10-11 21:00:00,5,24.18,0.382
2022-10-11 22:00:00,7,26.87,0.321
2022-10-11 23:00:00,5,27.88,0.395
2022-10-12 00:00:00,7,32.22,0.39
2022-10-12 01:00:00,8,28.06,0.27
2022-10-12 02:00:00,9,27.67,0.321
2022-10-12 03:00:00,6,27.22,0.281
2022-10-12 04:00:00,7,24.63,0.31
2022-10-12 05:00:00,7,27.45,0.4
2022-10-12 06:00:00,7,27.45,0.286
2022-10-12 07:00:00,10,25.27,0.258
2022-10-12 08:00:00,7,24.79,0.262
2022-10-12 09:00:00,4,26.17,0.298
2022-10-12 10:00:00,7,27.23,0.505
2022-10-12 11:00:00,8,26.15,0.392
2022-10-12 12:00:00,6,24.92,0.174
2022-10-12 13:00:00,1,27.57,0.316
2022-10-12 14:00:00,3,28.03,0.287
2022-10-12 15:00:00,5,27.16,0.368
2022-10-12 16:00:00,1,25.76,0.259
2022-10-12 17:00:00,3,28.04,0.267
2022-10-12 18:00:00,3,26.44,0.29
2022-10-12 19:00:00,1,24.41,0.284
2022-10-12 20:00:00,3,28.83,0.351
2022-10-12 21:00:00,0,27.43,0.302
2022-10-12 22:00:00,2,26.45,0.369
2022-10-12 23:00:00,3,23.51,0.278
2022-10-13 00:00:00,2,25.13,0.362
2022-10-13 01:00:00,7,30.63,0.261
2022-10-13 02:00:00,3,23.54,0.35
2022-10-13 03:00:00,4,26.02,0.294
2022-10-13 04:00:00,5,26.46,0.364
2022-10-13 05:00:00,7,27.11,0.197
2022-10-13 06:00:00,3,23.44,0.28
2022-10-13 07:00:00,6,26.75,0.378
2022-10-13 08:00:00,4,23.0,0.309
2022-10-13 09:00:00,2,26.54,0.234
2022-10-13 10:00:00,4,25.01,0.284
2022-10-13 11:00:00,3,24.55,0.339
2022-10-13 12:00:00,1,27.92,0.279
2022-10-13 13:00:00,2,25.76,0.378
2022-10-13 14:00:00,0,27.15,0.374
2022-10-13 15:00:00,1,27.18,0.353
2022-10-13 16:00:00,1,28.68,0.372
2022-10-13 17:00:00,3,23.7,0.294
2022-10-13 18:00:00,0,27.92,0.395
2022-10-13 19:00:00,4,26.09,0.374
2022-10-13 20:00:00,0,25.28,0.314
2022-10-13 21:00:00,1,23.71,0.239
2022-10-13 22:00:00,2,27.19,0.202
2022-10-13 23:00:00,2,24.11,0.37
2022-10-14 00:00:00,2,26.97,0.24
2022-10-14 01:00:00,3,29.76,0.275
2022-10-14 02:00:00,3,27.84,0.345
2022-10-14 03:00:00,3,28.64,0.256
2022-10-14 04:00:00,5,24.39,0.443
2022-10-14 05:00:00,5,27.33,0.333
2022-10-14 06:00:00,3,23.49,0.395
2022-10-14 07:00:00,5,25.29,0.373
2022-10-14 08:00:00,4,29.22,0.194
2022-10-14 09:00:00,4,24.5,0.358
2022-10-14 10:00:00,4,27.91,0.32
2022-10-14 11:00:00,1,27.7,0.318
2022-10-14 12:00:00,1,27.8,0.32
2022-10-14 13:00:00,2,23.09,0.374
2022-10-14 14:00:00,2,26.66,0.404
2022-10-14 15:00:00,0,25.27,0.262
2022-10-14 16:00:00,0,27.74,0.326
2022-10-14 17:00:00,2,22.23,0.392
2022-10-14 18:00:00,0,26.26,0.311
2022-10-14 19:00:00,1,25.96,0.332
2022-10-14 20:00:00,1,21.51,0.333
2022-10-14 21:00:00,1,23.7,0.428
2022-10-14 22:00:00,4,21.79,0.36
2022-10-14 23:00:00,4,23.98,0.426
2022-10-15 00:00:00,4,26.51,0.409
2022-10-15 01:00:00,6,25.79,0.311
2022-10-15 02:00:00,4,25.72,0.337
2022-10-15 03:00:00,6,23.28,0.425
2022-10-15 04:00:00,5,27.59,0.265
2022-10-15 05:00:00,6,25.29,0.361
2022-10-15 06:00:00,5,25.38,0.361
2022-10-15 07:00:00,5,27.18,0.309
2022-10-15 08:00:00,6,23.3,0.304
2022-10-15 09:00:00,3,25.73,0.311
2022-10-15 10:00:00,7,26.11,0.358
2022-10-15 11:00:00,2,24.15,0.397
2022-10-15 12:00:00,1,26.54,0.36
2022-10-15 13:00:00,5,26.17,0.26
2022-10-15 14:00:00,4,25.0,0.399
2022-10-15 15:00:00,3,24.93,0.383
2022-10-15 16:00:00,3,26.23,0.311
2022-10-15 17:00:00,2,26.75,0.291
2022-10-15 18:00:00,1,25.29,0.278
2022-10-15 19:00:00,3,27.39,0.377
2022-10-15 20:00:00,2,26.46,0.23
2022-10-15 21:00:00,5,21.55,0.379
2022-10-15 22:00:00,4,22.31,0.301
2022-10-15 23:00:00,4,27.47,0.338
2022-10-16 00:00:00,5,24.61,0.153
2022-10-16 01:00:00,7,25.42,0.235
2022-10-16 02:00:00,6,27.36,0.29
2022-10-16 03:00:00,6,25.06,0.279
2022-10-16 04:00:00,8,25.14,0.362
2022-10-16 05:00:00,8,23.32,0.339
2022-10-16 06:00:00,7,25.79,0.421
2022-10-16 07:00:00,7,26.22,0.35
2022-10-16 08:00:00,8,23.89,0.292
2022-10-16 09:00:00,5,23.19,0.386
2022-10-16 10:00:00,5,30.28,0.301
2022-10-16 11:00:00,5,24.84,0.299
2022-10-16 12:00:00,6,23.66,0.325
2022-10-16 13:00:00,6,26.43,0.406
2022-10-16 14:00:00,7,24.91,0.377
2022-10-16 15:00:00,6,22.84,0.376
2022-10-16 16:00:00,5,25.98,0.423
2022-10-16 17:00:00,5,23.3,0.375
2022-10-16 18:00:00,4,28.16,0.264
2022-10-16 19:00:00,5,25.99,0.352
2022-10-16 20:00:00,5,24.45,0.406
2022-10-16 21:00:00,7,25.22,0.249
2022-10-16 22:00:00,6,26.81,0.325
2022-10-16 23:00:00,8,25.37,0.272
2022-10-17 00:00:00,10,29.24,0.332
2022-10-17 01:00:00,8,27.27,0.382
2022-10-17 02:00:00,10,25.98,0.393
2022-10-17 03:00:00,10,23.13,0.317
2022-10-17 04:00:00,9,24.71,0.359
2022-10-17 05:00:00,10,25.96,0.251
2022-10-17 06:00:00,10,23.36,0.239
2022-10-17 07:00:00,10,27.6,0.382
2022-10-17 08:00:00,8,23.07,0.175
2022-10-17 09:00:00,9,23.74,0.292
2022-10-17 10:00:00,9,23.9,0.36
2022-10-17 11:00:00,10,26.52,0.337
2022-10-17 12:00:00,9,23.42,0.185
2022-10-17 13:00:00,10,21.44,0.353
2022-10-17 14:00:00,5,27.22,0.284
2022-10-17 15:00:00,8,24.16,0.333
2022-10-17 16:00:00,6,22.92,0.296
2022-10-17 17:00:00,9,23.55,0.292
2022-10-17 18:00:00,5,28.5,0.237
2022-10-17 19:00:00,5,23.76,0.309
2022-10-17 20:00:00,6,24.84,0.389
2022-10-17 21:00:00,4,24.2,0.306
2022-10-17 22:00:00,7,22.64,0.308
2022-10-17 23:00:00,7,23.62,0.292
2022-10-18 00:00:00,9,22.52,0.263
2022-10-18 01:00:00,9,27.04,0.277
2022-10-18 02:00:00,12,25.34,0.338
2022-10-18 03:00:00,11,30.11,0.45
2022-10-18 04:00:00,9,23.74,0.376
2022-10-18 05:00:00,8,23.45,0.359
2022-10-18 06:00:00,10,28.25,0.427
2022-10-18 07:00:00,7,27.31,0.351
2022-10-18 08:00:00,12,25.98,0.382
2022-10-18 09:00:00,10,22.99,0.339
2022-10-18 10:00:00,7,28.72,0.351
2022-10-18 11:00:00,5,25.1,0.258
2022-10-18 12:00:00,9,24.4,0.313
2022-10-18 13:00:00,6,27.56,0.3
2022-10-18 14:00:00,8,25.24,0.297
2022-10-18 15:00:00,3,22.97,0.295
2022-10-18 16:00:00,4,25.4,0.4
2022-10-18 17:00:00,5,23.77,0.31
2022-10-18 18:00:00,5,19.33,0.321
2022-10-18 19:00:00,4,23.6,0.442
2022-10-18 20:00:00,6,24.33,0.367
2022-10-18 21:00:00,4,23.09,0.329
2022-10-18 22:00:00,6,26.57,0.382
2022-10-18 23:00:00,6,23.88,0.295
2022-10-19 00:00:00,7,26.41,0.308
2022-10-19 01:00:00,8,23.0,0.311
2022-10-19 02:00:00,6,27.31,0.342
2022-10-19 03:00:00,5,22.95,0.352
2022-10-19 04:00:00,10,20.84,0.282
2022-10-19 05:00:00,8,28.02,0.35
2022-10-19 06:00:00,6,23.85,0.36
2022-10-19 07:00:00,10,29.1,0.306
2022-10-19 08:00:00,7,26.74,0.321
2022-10-19 09:00:00,8,27.21,0.273
2022-10-19 10:00:00,6,27.74,0.254
2022-10-19 11:00:00,8,25.9,0.272
2022-10-19 12:00:00,7,25.94,0.366
2022-10-19 13:00:00,3,28.28,0.356
2022-10-19 14:00:00,5,25.96,0.426
2022-10-19 15:00:00,4,24.3,0.332
2022-10-19 16:00:00,5,26.95,0.333
2022-10-19 17:00:00,1,21.58,0.347
2022-10-19 18:00:00,3,28.47,0.277
2022-10-19 19:00:00,4,28.54,0.375
2022-10-19 20:00:00,0,28.28,0.349
2022-10-19 21:00:00,1,28.22,0.283
2022-10-19 22:00:00,0,25.76,0.349
2022-10-19 23:00:00,3,25.74,0.368
2022-10-20 00:00:00,5,23.52,0.264
2022-10-20 01:00:00,7,29.5,0.383
2022-10-20 02:00:00,5,25.06,0.308
2022-10-20 03:00:00,7,26.74,0.177
2022-10-20 04:00:00,3,26.6,0.379
2022-10-20 05:00:00,3,23.43,0.398
2022-10-20 06:00:00,5,22.65,0.275
2022-10-20 07:00:00,5,26.18,0.247
2022-10-20 08:00:00,4,25.29,0.397
2022-10-20 09:00:00,1,26.05,0.3
2022-10-20 10:00:00,3,28.39,0.398
2022-10-20 11:00:00,1,26.73,0.242
2022-10-20 12:00:00,3,27.83,0.402
2022-10-20 13:00:00,2,27.23,0.385
2022-10-20 14:00:00,0,25.74,0.359
2022-10-20 15:00:00,0,24.4,0.231
2022-10-20 16:00:00,0,26.96,0.314
2022-10-20 17:00:00,0,26.63,0.382
2022-10-20 18:00:00,2,28.33,0.247
2022-10-20 19:00:00,0,26.22,0.306
2022-10-20 20:00:00,2,25.96,0.352
2022-10-20 21:00:00,0,26.13,0.274
2022-10-20 22:00:00,0,24.78,0.397
2022-10-20 23:00:00,2,29.55,0.387
2022-10-21 00:00:00,1,28.97,0.344
2022-10-21 01:00:00,2,24.29,0.354
2022-10-21 02:00:00,2,28.36,0.305
2022-10-21 03:00:00,7,23.1,0.362
2022-10-21 04:00:00,4,28.79,0.303
2022-10-21 05:00:00,3,25.46,0.323
2022-10-21 06:00:00,4,27.61,0.308
2022-10-21 07:00:00,4,23.06,0.404
2022-10-21 08:00:00,3,24.56,0.393
2022-10-21 09:00:00,4,27.93,0.283
2022-10-21 10:00:00,4,25.62,0.4
2022-10-21 11:00:00,1,25.38,0.293
2022-10-21 12:00:00,1,29.89,0.426
2022-10-21 13:00:00,1,31.55,0.412
2022-10-21 14:00:00,0,29.04,0.443
2022-10-21 15:00:00,0,25.02,0.348
2022-10-21 16:00:00,2,30.77,0.319
2022-10-21 17:00:00,3,24.15,0.318
2022-10-21 18:00:00,0,26.7,0.352
2022-10-21 19:00:00,2,27.46,0.283
2022-10-21 20:00:00,2,31.24,0.213
2022-10-21 21:00:00,6,29.25,0.314
2022-10-21 22:00:00,4,26.53,0.336
2022-10-21 23:00:00,2,25.61,0.362
2022-10-22 00:00:00,2,29.54,0.354
2022-10-22 01:00:00,1,26.51,0.341
2022-10-22 02:00:00,5,28.05,0.392
2022-10-22 03:00:00,4,24.91,0.29
2022-10-22 04:00:00,3,28.83,0.3
2022-10-22 05:00:00,4,28.71,0.44
2022-10-22 06:00:00,4,25.29,0.175
2022-10-22 07:00:00,8,29.87,0.39
2022-10-22 08:00:00,6,28.96,0.363
2022-10-22 09:00:00,4,29.37,0.334
2022-10-22 10:00:00,6,27.17,0.379
2022-10-22 11:00:00,4,28.32,0.37
2022-10-22 12:00:00,2,28.13,0.262
2022-10-22 13:00:00,5,27.75,0.286
2022-10-22 14:00:00,3,28.43,0.311
2022-10-22 15:00:00,1,30.64,0.229
2022-10-22 16:00:00,2,30.32,0.334
2022-10-22 17:00:00,1,25.84,0.367
2022-10-22 18:00:00,0,30.22,0.393
2022-10-22 19:00:00,4,30.67,0.339
2022-10-22 20:00:00,6,28.03,0.298
2022-10-22 21:00:00,2,29.39,0.346
2022-10-22 22:00:00,5,29.4,0.331
2022-10-22 23:00:00,4,26.75,0.375
2022-10-23 00:00:00,5,27.73,0.333
2022-10-23 01:00:00,5,30.04,0.38
2022-10-23 02:00:00,5,27.59,0.322
2022-10-23 03:00:00,7,30.57,0.4
2022-10-23 04:00:00,6,31.27,0.345
2022-10-23 05:00:00,8,30.99,0.306
2022-10-23 06:00:00,8,32.71,0.319
2022-10-23 07:00:00,7,28.61,0.372
2022-10-23 08:00:00,6,29.19,0.272
2022-10-23 09:00:00,6,29.52,0.33
2022-10-23 10:00:00,8,28.8,0.39
2022-10-23 11:00:00,7,30.04,0.362
2022-10-23 12:00:00,4,25.58,0.279
2022-10-23 13:00:00,6,29.46,0.352
2022-10-23 14:00:00,6,26.33,0.269
2022-10-23 15:00:00,2,27.21,0.346
2022-10-23 16:00:00,6,30.64,0.405
2022-10-23 17:00:00,4,28.82,0.34
2022-10-23 18:00:00,6,30.66,0.28
2022-10-23 19:00:00,4,28.86,0.327
2022-10-23 20:00:00,3,31.56,0.346
2022-10-23 21:00:00,4,28.91,0.391
2022-10-23 22:00:00,7,25.52,0.391
2022-10-23 23:00:00,8,29.93,0.283
2022-10-24 00:00:00,7,25.18,0.321
2022-10-24 01:00:00,9,26.66,0.357
2022-10-24 02:00:00,6,27.84,0.307
2022-10-24 03:00:00,9,27.64,0.362
2022-10-24 04:00:00,8,28.6,0.27
2022-10-24 05:00:00,9,27.65,0.35
2022-10-24 06:00:00,10,26.97,0.389
2022-10-24 07:00:00,8,32.91,0.34
2022-10-24 08:00:00,9,28.51,0.346
2022-10-24 09:00:00,10,25.45,0.38
2022-10-24 10:00:00,8,29.23,0.315
2022-10-24 11:00:00,9,27.75,0.369
2022-10-24 12:00:00,6,28.27,0.336
2022-10-24 13:00:00,8,31.51,0.292
2022-10-24 14:00:00,9,29.23,0.383
2022-10-24 15:00:00,3,27.87,0.408
2022-10-24 16:00:00,5,31.11,0.396
2022-10-24 17:00:00,7,32.56,0.383
2022-10-24 18:00:00,6,31.38,0.364
2022-10-24 19:00:00,7,25.44,0.356
2022-10-24 20:00:00,6,28.16,0.334
2022-10-24 21:00:00,7,30.53,0.305
2022-10-24 22:00:00,7,29.99,0.235
2022-10-24 23:00:00,10,29.87,0.26
2022-10-25 00:00:00,9,28.6,0.339
2022-10-25 01:00:00,9,27.8,0.275
2022-10-25 02:00:00,9,34.67,0.359
2022-10-25 03:00:00,9,30.75,0.426
2022-10-25 04:00:00,9,32.02,0.178
2022-10-25 05:00:00,10,30.79,0.29
2022-10-25 06:00:00,9,30.92,0.448
2022-10-25 07:00:00,10,30.74,0.381
2022-10-25 08:00:00,12,28.67,0.334
2022-10-25 09:00:00,10,27.93,0.313
2022-10-25 10:00:00,7,31.77,0.369
2022-10-25 11:00:00,9,31.42,0.388
2022-10-25 12:00:00,6,32.96,0.276
2022-10-25 13:00:00,3,32.6,0.414
2022-10-25 14:00:00,4,29.55,0.359
2022-10-25 15:00:00,3,33.47,0.387
2022-10-25 16:00:00,4,32.78,0.391
2022-10-25 17:00:00,5,32.68,0.355
2022-10-25 18:00:00,7,35.83,0.362
2022-10-25 19:00:00,5,35.47,0.366
2022-10-25 20:00:00,5,32.8,0.322
2022-10-25 21:00:00,7,32.59,0.372
2022-10-25 22:00:00,3,33.67,0.327
2022-10-25 23:00:00,7,30.38,0.34
2022-10-26 00:00:00,8,30.45,0.418
2022-10-26 01:00:00,5,32.97,0.338
2022-10-26 02:00:00,9,29.96,0.361
2022-10-26 03:00:00,8,32.9,0.332
2022-10-26 04:00:00,7,32.06,0.322
2022-10-26 05:00:00,9,30.08,0.437
2022-10-26 06:00:00,11,31.88,0.267
2022-10-26 07:00:00,7,34.48,0.343
2022-10-26 08:00:00,7,32.08,0.281
2022-10-26 09:00:00,6,32.13,0.404
2022-10-26 10:00:00,4,32.65,0.338
2022-10-26 11:00:00,6,32.95,0.317
2022-10-26 12:00:00,3,31.41,0.249
2022-10-26 13:00:00,4,32.81,0.42
2022-10-26 14:00:00,3,30.05,0.275
2022-10-26 15:00:00,4,30.59,0.366
2022-10-26 16:00:00,3,30.89,0.388
2022-10-26 17:00:00,4,33.21,0.45
2022-10-26 18:00:00,2,32.63,0.314
2022-10-26 19:00:00,2,32.08,0.299
2022-10-26 20:00:00,1,33.77,0.32
2022-10-26 21:00:00,2,33.18,0.312
2022-10-26 22:00:00,4,31.88,0.247
2022-10-26 23:00:00,5,30.43,0.423
2022-10-27 00:00:00,3,30.9,0.321
2022-10-27 01:00:00,6,29.64,0.334
2022-10-27 02:00:00,7,32.89,0.373
2022-10-27 03:00:00,6,30.93,0.411
2022-10-27 04:00:00,8,31.7,0.284
2022-10-27 05:00:00,4,32.47,0.36
